Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AF Sens 3 Volts (V),Boost (kPa),Calculated Load (g/rev),Comm Fuel Final (AFR),Feedback Knock (°),Fine Knock Learn (°),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (C),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (kPa),Throttle Pos (%),Wastegate Duty (%),"AP Info:[AP3-SUB-002 v1.7.5.0-25494][2005 USDM Impreza WRX STI][Reflash: Stage0 v400.ptm - Realtime: Stage0 v400.ptm]"
0.000,-18.75,14.84,0.00,14.59,0.24,-71.57,0.26,15.93,0.00,0.53,39.00,4.74,25,12.15,1.82,2775,18.55,8.2,0.00,0
0.066,-17.97,14.84,0.00,14.70,0.18,-71.50,0.26,15.91,0.00,0.53,39.50,4.76,25,12.27,1.82,2790,18.00,8.2,0.00,0
0.160,-17.97,14.84,0.00,14.70,0.10,-71.71,0.26,15.97,0.00,0.53,39.00,4.70,25,12.20,1.82,2756,18.41,8.2,0.00,0
0.273,-17.97,14.84,0.00,14.59,0.08,-71.57,0.26,15.90,0.00,0.53,39.00,4.72,25,12.20,1.82,2764,18.62,8.2,0.00,0
0.354,-17.97,14.84,0.00,14.59,0.07,-71.71,0.27,15.86,0.00,0.53,39.00,4.66,25,12.25,1.82,2730,19.24,8.2,0.00,0
0.458,-17.97,14.84,0.00,14.59,0.07,-71.77,0.27,15.84,0.00,0.53,39.00,4.71,25,12.10,1.82,2762,19.99,8.2,0.00,0
0.565,-17.97,14.84,0.00,14.59,0.07,-71.77,0.26,15.90,0.00,0.53,39.00,4.67,25,12.14,1.82,2736,19.58,8.2,0.00,0
0.648,-17.19,14.84,0.00,14.70,0.07,-71.77,0.26,15.82,0.00,0.53,39.00,4.69,25,12.14,1.82,2745,20.13,8.6,0.00,0
0.760,-16.41,14.84,0.00,14.81,0.07,-70.53,0.27,15.80,0.00,0.53,39.50,4.68,25,13.00,1.88,2744,20.62,9.8,0.00,0
0.851,-14.84,14.84,0.00,14.93,0.06,-65.64,0.29,15.76,0.00,0.53,41.50,5.82,25,16.36,2.02,2729,19.58,12.2,0.00,0
