Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AF Sens 3 Volts (V),Calculated Load (g/rev),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Wastegate Duty (%),"AP Info:[AP3-SUB-002 v1.7.6.0-27787][2005 USDM Impreza WRX STI][Reflash: Stage0 v400.ptm - Realtime: Stage0 v400.ptm]"
0.000,3.91,-2.34,-0.12,14.36,0.70,0.45,1.000,0.00,0.00,45.00,6.61,68.0,19.39,2.08,2581,1.52,11.8,16.08,0
0.044,3.91,-2.34,-0.12,14.36,0.72,0.45,1.000,0.00,0.00,45.00,6.64,68.0,19.01,2.06,2593,1.51,11.8,16.08,0
0.140,3.12,-2.34,-0.12,14.24,0.70,0.44,1.000,0.00,0.00,45.00,6.66,68.0,19.25,2.06,2601,1.50,11.8,15.69,0
0.240,4.69,-2.34,0.00,14.47,0.70,0.44,1.000,0.00,0.00,45.00,6.59,68.0,19.39,2.08,2574,1.46,11.8,16.08,0
0.348,3.91,-2.34,-0.12,14.47,0.41,0.45,1.000,0.00,0.00,45.00,6.65,68.0,19.39,2.08,2596,1.48,11.8,15.69,0
0.457,4.69,-2.34,-0.12,14.47,0.25,0.45,1.000,0.00,0.00,45.00,6.66,68.0,19.31,2.08,2600,1.50,11.8,15.69,0
0.540,3.91,-2.34,-0.12,14.36,0.22,0.45,1.000,0.00,0.00,45.00,6.61,68.0,19.24,2.08,2580,1.50,11.8,16.08,0
0.645,3.91,-2.34,-0.12,14.36,0.28,0.45,1.000,0.00,0.00,45.00,6.66,68.0,19.39,2.08,2603,1.44,11.8,15.69,0
0.750,4.69,-2.34,-0.12,14.47,0.48,0.45,1.000,0.00,0.00,45.00,6.66,68.0,19.24,2.08,2604,1.51,11.8,15.69,0
0.844,3.91,-2.34,-0.12,14.36,0.43,0.45,1.000,0.00,0.00,45.00,6.61,68.0,19.23,2.08,2580,1.48,11.4,16.08,0
0.941,4.69,-2.34,-0.12,14.36,0.71,0.44,1.000,0.00,0.00,44.50,5.56,68.0,15.08,1.82,2605,1.46,8.2,12.55,0
1.051,0.00,-2.34,-0.25,13.90,0.69,0.36,1.000,0.00,0.00,41.00,4.42,68.0,12.56,1.82,2592,2.42,7.8,10.59,0
1.145,3.91,-2.34,0.00,14.36,0.86,0.31,1.000,0.00,0.00,39.50,4.35,68.0,12.56,1.80,2551,2.80,7.8,10.59,0
1.240,4.69,-2.34,0.00,14.81,0.75,0.30,1.000,0.00,0.00,39.00,4.43,68.0,12.30,1.80,2593,3.25,7.8,10.59,0
1.341,3.12,-2.34,-0.12,14.47,0.14,0.29,1.000,0.00,0.00,38.50,4.45,68.0,12.21,1.82,2610,3.34,7.8,10.59,0
1.443,2.34,-2.34,-0.12,14.24,0.10,0.28,1.000,0.00,0.00,38.50,4.39,68.0,12.24,1.82,2574,3.36,7.8,10.59,0
1.539,1.56,-2.34,-0.12,14.13,0.13,0.28,1.000,0.00,0.00,38.50,4.42,68.0,12.24,1.82,2589,3.44,7.8,10.59,0
1.640,1.56,-2.34,-0.12,14.24,0.19,0.28,1.000,0.00,0.00,38.50,4.44,68.0,12.33,1.82,2602,3.47,7.8,10.59,0
1.740,0.00,-2.34,-0.12,14.13,0.54,0.28,1.000,0.00,0.00,38.50,4.40,68.0,12.34,1.82,2577,3.41,7.8,10.59,0
1.840,0.00,-2.34,-0.12,14.24,0.82,0.29,1.000,0.00,0.00,39.00,4.42,68.0,12.44,1.82,2587,3.46,7.8,10.59,0
1.941,-1.56,-2.34,-0.12,14.24,0.83,0.29,1.000,0.00,0.00,38.50,4.44,68.0,12.27,1.82,2604,3.39,7.8,10.59,0
2.049,-1.56,-2.34,-0.12,14.24,0.77,0.29,1.000,0.00,0.00,38.50,4.40,68.0,12.38,1.82,2576,3.44,7.8,10.59,0
2.151,-1.56,-2.34,-0.12,14.36,0.78,0.29,1.000,0.00,0.00,38.50,4.41,68.0,12.27,1.82,2586,3.47,7.8,10.59,0
