Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AF Sens 3 Volts (V),Calculated Load (g/rev),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Wastegate Duty (%),"AP Info:[AP3-SUB-002 v1.7.6.0-27787][2005 USDM Impreza WRX STI][Reflash: Stage0 v400.ptm - Realtime: Stage0 v400.ptm]"
0.000,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,2.20,69.8,14.05,1.90,3435,0.53,9.0,0.00,0
0.014,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,2.20,69.8,14.16,1.90,3444,0.56,9.0,0.00,0
0.112,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,2.18,69.8,14.16,1.92,3404,0.70,9.0,0.00,0
0.217,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,2.17,69.8,14.16,1.92,3387,0.64,9.0,0.00,0
0.321,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,2.18,69.8,14.05,1.90,3406,0.67,9.0,0.00,0
0.402,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,2.15,69.8,13.76,1.90,3358,0.59,8.6,0.00,0
0.509,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,2.13,69.8,13.76,1.88,3333,0.64,8.6,0.00,0
0.598,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,2.15,69.8,13.70,1.88,3364,0.67,8.6,0.00,0
0.712,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,2.12,69.8,13.70,1.88,3310,0.63,8.6,0.00,0
0.805,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,2.13,69.8,13.59,1.88,3324,0.65,8.6,0.00,0
0.903,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,2.10,69.8,13.70,1.88,3281,0.77,8.6,0.00,0
0.998,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,2.10,69.8,13.42,1.88,3274,0.76,8.6,0.00,0
1.124,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,2.08,69.8,13.25,1.88,3252,0.72,8.6,0.00,0
1.223,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,2.09,69.8,13.36,1.88,3262,0.68,8.6,0.00,0
1.324,0.00,-0.78,1.75,20.33,0.00,0.24,1.000,0.00,-3.85,24.00,2.07,69.8,13.25,1.86,3241,0.75,8.6,0.00,0
1.416,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,2.04,69.8,13.20,1.86,3190,0.77,8.6,0.00,0
1.533,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,2.04,69.8,12.93,1.86,3189,0.73,8.2,0.00,0
1.596,0.00,-0.78,1.75,20.33,0.00,0.24,1.000,0.00,-3.85,24.00,2.03,69.8,12.83,1.86,3178,0.81,8.2,0.00,0
1.710,0.00,-0.78,1.75,20.33,0.00,0.24,1.000,0.00,-3.85,24.00,2.01,69.8,12.83,1.86,3140,0.91,8.2,0.00,0
1.821,0.00,-0.78,1.75,20.33,0.00,0.24,1.000,0.00,-3.85,24.00,2.00,69.8,12.72,1.84,3125,0.84,8.2,0.00,0
1.900,0.00,-0.78,1.75,20.33,0.00,0.24,1.000,0.00,-3.85,24.00,2.00,69.8,12.77,1.86,3132,1.02,8.2,0.00,0
2.117,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,1.98,69.8,12.83,1.84,3094,1.14,8.2,0.00,0
2.232,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,1.95,69.8,12.72,1.84,3050,1.16,8.2,0.00,0
2.334,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,1.94,69.8,12.46,1.84,3037,1.10,8.2,0.00,0
2.463,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,1.93,69.8,12.46,1.84,3016,1.26,7.8,0.00,0
2.512,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,1.92,69.8,12.40,1.84,3002,1.31,7.8,0.00,0
2.601,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,1.91,69.8,12.35,1.84,2988,1.43,7.8,0.00,0
2.724,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,1.90,71.6,12.46,1.84,2974,1.49,7.8,0.00,0
2.808,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,-3.85,24.00,1.90,71.6,12.24,1.84,2966,1.45,7.8,0.00,0
2.914,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,0.00,24.00,1.88,71.6,12.24,1.82,2934,1.47,7.8,0.00,0
3.010,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,0.00,24.00,1.89,71.6,12.14,1.82,2949,1.78,7.8,0.00,0
3.099,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,0.00,24.00,1.88,71.6,12.14,1.82,2942,1.79,7.8,0.00,0
3.198,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,0.00,24.00,1.87,71.6,12.19,1.82,2920,1.77,7.8,0.00,0
3.296,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,0.00,24.00,1.86,71.6,12.09,1.82,2903,1.87,7.8,0.00,0
3.401,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,0.00,24.00,1.84,71.6,11.98,1.82,2869,1.89,7.8,0.00,0
3.498,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,0.00,24.00,1.83,71.6,11.87,1.82,2856,2.12,7.8,0.00,0
3.600,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,0.00,24.00,1.84,71.6,11.87,1.80,2868,2.15,7.8,0.00,0
3.698,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,0.00,24.00,1.82,71.6,11.93,1.82,2848,2.25,7.8,0.00,0
3.797,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,0.00,24.00,1.80,71.6,11.77,1.80,2814,2.30,7.8,0.00,0
3.903,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,0.00,26.00,4.78,71.6,11.98,1.82,2798,2.37,7.8,11.37,0
3.999,0.00,-0.78,1.75,20.33,0.00,0.25,1.000,0.00,0.00,32.00,4.86,71.6,12.19,1.86,2848,2.40,9.0,12.55,0
4.096,0.00,-0.78,1.62,20.33,0.00,0.27,1.000,0.00,0.00,38.50,5.38,71.6,14.05,1.98,2803,2.41,10.6,12.94,0
4.200,0.00,-0.78,1.38,20.33,0.01,0.32,1.000,0.00,0.00,30.50,7.86,71.6,23.81,2.26,2833,2.79,15.3,18.04,0
4.301,0.00,-0.78,1.12,20.33,0.06,0.45,1.000,0.00,0.00,46.00,9.54,71.6,28.57,2.34,2794,3.75,16.5,18.04,0
4.403,0.00,-0.78,0.75,20.33,0.88,0.57,1.000,0.00,0.00,45.50,9.69,71.6,29.12,2.38,2838,3.12,17.3,18.04,0
4.500,0.00,-0.78,0.50,18.03,0.90,0.62,1.000,0.00,0.00,45.00,10.12,71.6,30.92,2.42,2792,3.01,18.0,18.04,0
4.601,0.00,-0.78,0.12,15.96,0.88,0.65,1.000,0.00,0.00,44.50,10.84,71.6,32.04,2.42,2824,3.10,18.0,18.04,0
4.705,-3.12,-0.78,-0.12,14.36,0.86,0.68,1.000,0.00,0.00,44.00,10.86,71.6,33.02,2.44,2829,3.11,18.0,18.04,0
4.811,-4.69,-0.78,-0.25,13.78,0.90,0.70,1.000,0.00,0.00,44.00,10.78,71.6,32.81,2.44,2808,2.83,18.0,18.04,0
4.903,-6.25,-0.78,-0.25,14.01,0.88,0.70,1.000,0.00,0.00,44.00,10.85,71.6,33.36,2.44,2827,2.75,18.0,18.04,0
4.997,-6.25,-0.78,-0.12,14.13,0.86,0.70,1.000,0.00,0.00,44.00,10.96,71.6,33.15,2.44,2853,2.73,18.0,18.04,0
5.095,-6.25,-0.78,-0.12,14.24,0.87,0.70,1.000,0.00,0.00,44.00,10.95,71.6,33.58,2.46,2852,2.69,18.0,18.04,0
5.196,-7.03,-0.78,-0.12,14.36,0.85,0.71,1.000,0.00,0.00,44.00,10.91,71.6,34.23,2.46,2840,2.60,18.0,18.43,0
5.304,-6.25,-0.78,-0.12,14.36,0.85,0.72,1.000,0.00,0.00,43.50,10.97,71.6,34.91,2.46,2857,2.52,18.0,18.43,0
5.396,-7.81,-0.78,-0.12,14.36,0.86,0.72,1.000,0.00,0.00,43.50,11.07,71.6,34.86,2.48,2882,2.48,18.0,18.43,0
5.495,-7.81,-0.78,-0.12,14.24,0.85,0.73,1.000,0.00,0.00,43.50,11.09,71.6,34.77,2.48,2889,2.45,18.0,18.43,0
5.594,-7.03,-0.78,-0.12,14.47,0.85,0.73,1.000,0.00,0.00,43.50,11.05,71.6,35.46,2.48,2876,2.41,18.0,18.43,0
5.698,-6.25,-0.78,0.00,14.59,0.82,0.74,1.000,0.00,0.00,43.50,11.02,71.6,35.12,2.48,2871,2.43,18.0,18.43,0
5.795,-4.69,-0.78,0.00,14.59,0.79,0.73,1.000,0.00,0.00,43.50,11.04,71.6,35.27,2.48,2875,2.26,18.0,18.43,0
5.896,-3.91,-0.78,0.00,14.70,0.78,0.74,1.000,0.00,0.00,43.50,11.17,71.6,35.63,2.48,2909,2.25,18.0,18.43,0
5.995,-3.12,-0.78,0.00,14.59,0.76,0.74,1.000,0.00,0.00,43.50,11.21,71.6,36.12,2.48,2920,2.34,18.0,18.43,0
6.100,-3.12,-0.78,0.00,14.59,0.83,0.74,1.000,0.00,0.00,43.50,11.26,71.6,36.00,2.48,2934,2.32,18.0,18.82,0
6.197,-3.91,-0.78,-0.12,14.47,0.82,0.74,1.000,0.00,0.00,44.00,11.16,71.6,33.18,2.42,2906,2.19,16.9,18.82,0
6.295,-4.69,-0.78,-0.12,14.13,0.88,0.70,1.000,0.00,0.00,44.00,10.61,71.6,32.75,2.42,2926,1.55,16.9,18.43,0
6.395,-4.69,-0.78,-0.12,14.36,0.86,0.68,1.000,0.00,0.00,44.50,10.61,71.6,32.41,2.42,2926,1.68,16.9,18.82,0
6.503,-3.12,-0.78,0.00,14.59,0.83,0.67,1.000,0.00,0.00,44.50,10.65,71.6,32.42,2.42,2936,1.79,16.9,18.82,0
6.604,-2.34,-0.78,0.00,14.70,0.81,0.66,1.000,0.00,0.00,44.50,10.68,71.6,31.17,2.36,2944,1.77,16.1,18.82,0
6.704,-3.12,-0.78,-0.12,14.47,0.79,0.64,1.000,0.00,0.00,45.00,10.17,71.6,30.63,2.36,2979,1.38,15.7,18.82,0
6.804,-3.12,-0.78,-0.12,14.47,0.86,0.63,1.000,0.00,0.00,45.00,10.15,71.6,30.74,2.38,2975,1.38,16.1,18.82,0
