Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AF Sens 3 Volts (V),Boost (kPa),Calculated Load (g/rev),Comm Fuel Final (AFR),Feedback Knock (°),Fine Knock Learn (°),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (C),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (kPa),Throttle Pos (%),Wastegate Duty (%),"AP Info:[AP3-SUB-002 v1.7.5.0-25494][2005 USDM Impreza WRX STI][Reflash: Stage0 v400.ptm - Realtime: Stage0 v400.ptm]"
0.000,-10.94,14.84,0.00,14.59,0.71,-42.95,0.51,14.63,0.00,0.79,47.00,9.15,20,24.36,2.24,2859,11.58,15.3,0.00,0
0.098,-10.16,14.84,0.00,14.59,0.73,-43.09,0.51,14.63,0.00,0.79,47.00,9.08,20,24.18,2.24,2838,11.31,15.3,0.00,0
0.174,-11.72,14.84,0.00,14.47,0.72,-43.16,0.51,14.63,0.00,0.79,47.00,9.08,20,24.27,2.24,2839,11.51,15.3,0.00,0
0.278,-10.94,14.84,0.00,14.59,0.80,-43.02,0.51,14.63,0.00,0.79,47.00,9.14,20,24.55,2.24,2857,11.58,15.3,0.00,0
0.369,-10.94,14.84,0.00,14.59,0.78,-43.09,0.51,14.63,0.00,0.79,47.00,9.06,20,24.18,2.24,2832,11.45,15.3,0.00,0
0.476,-11.72,14.84,0.00,14.47,0.73,-43.37,0.51,14.63,0.00,0.79,47.00,9.15,20,24.36,2.24,2859,11.58,15.3,0.00,0
0.570,-10.94,14.84,0.00,14.59,0.74,-43.16,0.51,14.63,0.00,0.79,47.00,9.13,20,23.99,2.22,2854,11.65,15.3,0.00,0
0.673,-10.94,14.84,0.00,14.59,0.77,-43.30,0.51,14.63,0.00,0.79,47.00,9.05,20,24.18,2.24,2830,11.58,15.3,0.00,0
0.761,-10.94,14.84,0.00,14.59,0.68,-43.09,0.51,14.63,0.00,0.79,47.00,9.12,20,24.18,2.24,2849,11.65,14.9,0.00,0
0.874,-10.94,14.84,0.00,14.59,0.69,-43.57,0.51,14.63,0.00,0.79,47.00,9.11,20,23.80,2.22,2847,10.20,14.9,0.00,0
0.964,-12.50,14.84,-0.12,14.47,0.78,-44.13,0.50,14.63,0.00,0.79,47.00,9.03,20,23.61,2.22,2823,10.34,14.9,0.00,0
1.056,-11.72,14.84,0.00,14.47,0.80,-44.26,0.50,14.64,0.00,0.79,47.00,8.50,20,23.80,2.22,2847,10.89,14.9,0.00,0
1.172,-11.72,14.84,0.00,14.59,0.71,-44.13,0.50,14.64,0.00,0.79,47.00,8.44,20,23.89,2.22,2824,11.10,14.9,0.00,0
1.252,-11.72,14.84,0.00,14.59,0.70,-44.13,0.50,14.64,0.00,0.79,47.00,9.04,20,24.08,2.22,2824,10.96,14.9,0.00,0
1.366,-10.94,14.84,0.00,14.59,0.69,-44.13,0.51,14.63,0.00,0.79,47.00,9.10,20,23.80,2.22,2844,10.82,14.9,0.00,0
1.463,-11.72,14.84,0.00,14.59,0.69,-43.92,0.50,14.64,0.00,0.79,47.00,9.02,20,23.80,2.22,2820,10.62,14.9,0.00,0
1.564,-10.94,14.84,0.00,14.59,0.76,-43.92,0.50,14.63,0.00,0.79,47.00,9.10,20,23.80,2.22,2842,10.62,14.9,0.00,0
1.657,-11.72,14.84,0.00,14.59,0.68,-44.20,0.50,14.64,0.00,0.79,47.00,9.10,20,23.89,2.22,2843,10.82,14.9,0.00,0
1.741,-11.72,14.84,0.00,14.59,0.67,-44.06,0.51,14.63,0.00,0.79,47.00,9.02,20,23.80,2.22,2820,10.62,14.9,0.00,0
1.839,-11.72,14.84,0.00,14.59,0.75,-44.13,0.51,14.63,0.00,0.79,47.00,9.07,20,23.80,2.22,2834,10.76,14.9,0.00,0
1.959,-11.72,14.84,0.00,14.59,0.77,-44.06,0.50,14.64,0.00,0.79,47.00,9.00,20,23.51,2.22,2812,10.76,14.9,0.00,0
2.036,-11.72,14.84,0.00,14.59,0.73,-44.20,0.50,14.64,0.00,0.79,47.00,8.39,20,23.61,2.22,2811,10.82,14.9,0.00,0
2.134,-11.72,14.84,0.00,14.59,0.72,-44.06,0.50,14.64,0.00,0.79,47.00,8.46,20,23.33,2.22,2831,10.96,14.9,0.00,0
2.238,-10.94,14.84,0.00,14.59,0.73,-44.20,0.50,14.64,0.00,0.79,47.00,8.99,20,23.70,2.22,2810,10.96,14.9,0.00,0
