Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AF Sens 3 Volts (V),Calculated Load (g/rev),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Wastegate Duty (%),"AP Info:[AP3-SUB-002 v1.7.6.0-27787][2005 USDM Impreza WRX STI][Reflash: Stage0 v400.ptm - Realtime: Stage0 v400.ptm]"
0.000,0.00,0.00,1.75,20.33,0.07,0.24,0.750,0.00,0.00,24.00,2.04,73.4,12.67,1.86,3188,0.85,8.2,0.00,0
0.044,0.00,0.00,1.75,20.33,0.07,0.24,0.750,0.00,0.00,24.00,2.02,73.4,12.56,1.84,3158,0.77,8.2,0.00,0
0.144,0.00,0.00,1.75,20.33,0.07,0.24,0.750,0.00,0.00,24.00,2.02,73.4,12.67,1.84,3152,0.83,8.2,0.00,0
0.215,0.00,0.00,1.75,20.33,0.07,0.24,0.750,0.00,0.00,24.00,2.01,73.4,12.72,1.84,3141,0.76,8.2,0.00,0
0.311,0.00,0.00,1.75,20.33,0.07,0.24,0.750,0.00,0.00,24.00,2.02,73.4,12.62,1.84,3153,0.87,8.2,0.00,0
0.401,0.00,0.00,1.75,20.33,0.06,0.24,0.750,0.00,0.00,24.00,2.02,73.4,12.40,1.84,3150,0.93,8.2,0.00,0
0.506,0.00,0.00,1.75,20.33,0.06,0.24,0.750,0.00,0.00,24.00,2.01,73.4,12.56,1.84,3143,0.96,8.2,0.00,0
0.596,0.00,0.00,1.75,20.33,0.06,0.24,0.750,0.00,0.00,24.00,1.99,73.4,12.30,1.82,3107,1.05,8.2,0.00,0
0.673,0.00,0.00,1.75,20.33,0.06,0.24,0.750,0.00,0.00,24.00,1.99,73.4,12.40,1.84,3103,1.04,8.2,0.00,0
0.779,0.00,0.00,1.75,20.33,0.06,0.24,0.750,0.00,0.00,24.00,2.00,73.4,12.51,1.84,3123,0.95,8.2,0.00,0
0.862,0.00,0.00,1.75,20.33,0.06,0.24,0.750,0.00,0.00,24.00,1.99,73.4,12.30,1.84,3115,1.10,8.2,0.00,0
0.956,0.00,0.00,1.75,20.33,0.06,0.24,0.750,0.00,0.00,24.00,1.97,75.2,12.46,1.84,3083,1.02,8.2,0.00,0
1.056,0.00,0.00,1.75,20.33,0.06,0.24,0.750,0.00,0.00,24.00,1.97,75.2,12.40,1.84,3072,1.19,8.2,0.00,0
1.141,0.00,0.00,1.75,20.33,0.06,0.24,0.750,0.00,0.00,24.00,1.98,75.2,12.09,1.84,3089,1.03,8.2,0.00,0
1.231,0.00,0.00,1.75,20.33,0.06,0.24,0.750,0.00,0.00,24.00,1.97,75.2,12.40,1.84,3081,1.25,8.2,0.00,0
1.326,0.00,0.00,1.75,20.33,0.06,0.24,0.750,0.00,0.00,24.00,1.95,75.2,12.40,1.82,3050,1.24,8.2,0.00,0
1.417,0.00,0.00,1.75,20.33,0.06,0.24,0.750,0.00,0.00,24.00,1.94,75.2,12.30,1.82,3038,1.15,8.2,0.00,0
1.528,0.00,0.00,1.75,20.33,0.06,0.24,0.750,0.00,0.00,24.00,1.96,75.2,12.03,1.82,3060,1.36,8.2,0.00,0
1.608,0.00,0.00,1.75,20.33,0.06,0.24,0.750,0.00,0.00,24.00,1.94,75.2,12.09,1.82,3029,1.36,8.2,0.00,0
1.711,0.00,0.00,1.75,20.33,0.06,0.24,0.750,0.00,0.00,24.00,1.95,75.2,11.77,1.80,3042,1.28,8.2,0.00,0
1.781,0.00,0.00,1.75,20.33,0.05,0.24,0.750,0.00,0.00,24.00,1.95,75.2,11.98,1.82,3041,1.45,8.2,0.00,0
1.871,0.00,0.00,1.75,20.33,0.06,0.24,0.750,0.00,0.00,24.00,1.92,75.2,11.88,1.80,3006,1.38,8.2,0.00,0
1.989,0.00,0.00,1.75,20.33,0.05,0.24,0.750,0.00,0.00,24.00,1.94,75.2,12.14,1.82,3026,1.39,8.2,0.00,0
2.052,0.00,0.00,1.75,20.33,0.05,0.24,0.750,0.00,0.00,24.00,1.93,75.2,12.09,1.82,3017,1.56,8.2,0.00,0
2.157,0.00,0.00,1.75,20.33,0.05,0.24,0.750,0.00,0.00,24.00,1.91,75.2,12.19,1.84,2991,1.56,7.8,0.00,0
2.236,0.00,0.00,1.75,20.33,0.05,0.24,0.750,0.00,0.00,24.00,1.92,75.2,11.98,1.82,3004,1.50,7.8,0.00,0
2.339,0.00,0.00,1.75,20.33,0.05,0.24,0.750,0.00,0.00,24.00,1.90,75.2,11.88,1.82,2973,1.62,7.8,0.00,0
2.445,0.00,0.00,1.75,20.33,0.05,0.24,0.750,0.00,0.00,24.00,1.91,75.2,11.98,1.82,2988,1.65,7.8,0.00,0
2.519,0.00,0.00,1.75,20.33,0.05,0.24,0.750,0.00,0.00,24.00,1.89,75.2,12.03,1.80,2958,1.61,7.8,0.00,0
2.609,0.00,0.00,1.75,20.33,0.05,0.24,0.750,0.00,0.00,24.00,1.90,75.2,10.94,1.76,2970,1.61,7.8,0.00,0
2.700,0.00,0.00,1.75,20.33,0.05,0.23,0.750,0.00,0.00,28.00,5.02,75.2,11.42,1.78,2943,1.78,7.8,11.76,0
2.793,0.00,0.00,1.75,20.33,0.05,0.23,0.750,0.00,0.00,34.50,6.32,75.2,16.53,2.08,2963,1.77,12.9,17.25,0
2.880,0.00,0.00,1.62,20.33,0.04,0.32,0.750,0.00,0.00,45.00,8.39,75.2,21.64,2.18,3026,2.56,13.3,19.22,0
2.978,0.00,0.00,1.38,20.33,0.04,0.41,0.750,0.00,0.00,46.00,8.08,75.2,22.50,2.20,2912,2.30,14.1,18.82,0
3.065,0.00,0.00,1.12,20.33,0.04,0.44,0.750,0.00,0.00,46.00,8.26,75.2,22.23,2.18,2978,2.20,13.7,18.82,0
3.159,0.00,0.00,0.88,20.33,0.05,0.45,0.750,0.00,0.00,46.00,8.17,75.2,22.32,2.20,2947,1.80,13.7,18.82,0
3.248,0.00,0.00,0.50,18.60,0.05,0.45,0.750,0.00,0.00,46.00,8.20,75.2,22.50,2.18,2955,1.64,13.7,18.82,0
3.359,0.00,0.00,0.25,16.54,0.04,0.45,0.750,0.00,0.00,46.00,8.15,75.2,21.64,2.16,2940,1.63,13.7,18.82,0
3.436,-1.56,0.00,0.00,14.70,0.05,0.45,0.750,0.00,0.00,46.00,8.20,75.2,21.92,2.18,2958,1.64,13.7,18.82,0
3.529,-3.91,0.00,-0.25,13.78,0.05,0.45,0.750,0.00,0.00,46.00,8.15,75.2,22.61,2.18,2937,1.66,13.7,18.82,0
3.625,-1.56,0.00,-0.25,13.90,0.05,0.46,0.750,0.00,0.00,46.00,8.20,75.2,22.26,2.20,2958,1.75,13.7,18.82,0
3.709,-1.56,0.00,-0.25,14.01,0.05,0.46,0.750,0.00,0.00,46.00,8.14,75.2,22.90,2.18,2935,1.73,13.7,18.82,0
