Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AF Sens 3 Volts (V),Calculated Load (g/rev),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Wastegate Duty (%),"AP Info:[AP3-SUB-002 v1.7.6.0-27787][2005 USDM Impreza WRX STI][Reflash: Stage0 v400.ptm - Realtime: Stage0 v400.ptm]"
0.000,5.47,0.00,0.00,14.47,0.83,0.56,0.750,0.00,0.00,46.00,9.94,71.6,29.33,2.34,3106,2.17,16.1,19.61,0
0.014,4.69,0.00,-0.12,14.47,0.83,0.56,0.750,0.00,0.00,46.00,10.01,71.6,29.32,2.34,3129,2.13,16.1,19.61,0
0.091,4.69,0.00,0.00,14.47,0.84,0.57,0.750,0.00,0.00,46.00,10.02,71.6,29.54,2.34,3130,2.10,16.1,19.61,0
0.203,4.69,0.00,0.00,14.59,0.82,0.57,0.750,0.00,0.00,46.00,9.94,71.6,29.42,2.34,3106,2.04,16.1,19.61,0
0.268,3.91,0.00,-0.12,14.47,0.83,0.57,0.750,0.00,0.00,46.00,9.94,71.6,29.42,2.34,3105,2.03,16.1,19.61,0
0.363,3.91,0.00,-0.12,14.36,0.83,0.57,0.750,0.00,0.00,46.00,9.95,71.6,29.54,2.34,3108,2.06,16.1,19.61,0
0.463,3.91,0.00,-0.12,14.47,0.84,0.57,0.750,0.00,0.00,46.00,10.01,71.6,29.43,2.34,3128,2.07,16.1,19.61,0
0.557,3.91,0.00,-0.12,14.47,0.84,0.57,0.750,0.00,0.00,46.00,10.02,71.6,29.65,2.34,3130,2.05,16.1,19.61,0
0.635,4.69,0.00,0.00,14.59,0.82,0.57,0.750,0.00,0.00,46.00,9.96,71.6,30.10,2.34,3112,2.06,16.1,19.61,0
0.743,4.69,0.00,0.00,14.59,0.81,0.57,0.750,0.00,0.00,46.00,10.60,71.6,29.76,2.36,3106,2.01,16.1,19.61,0
0.819,3.91,0.00,-0.12,14.47,0.81,0.57,0.750,0.00,0.00,45.50,10.69,71.6,30.20,2.34,3132,2.00,16.1,19.61,0
0.946,3.91,0.00,-0.12,14.47,0.83,0.57,0.750,0.00,0.00,46.00,10.02,71.6,29.65,2.34,3133,1.99,16.1,19.61,0
1.039,3.12,0.00,-0.12,14.47,0.85,0.57,0.750,0.00,0.00,46.00,10.02,71.6,29.11,2.34,3133,1.98,16.1,19.61,0
1.099,3.91,0.00,0.00,14.59,0.81,0.56,0.750,0.00,0.00,46.00,9.96,71.6,29.65,2.34,3112,2.00,16.1,19.61,0
1.197,4.69,0.00,0.00,14.70,0.77,0.57,0.750,0.00,0.00,46.00,9.95,71.6,29.33,2.34,3109,2.00,16.1,19.61,0
1.279,4.69,0.00,0.00,14.59,0.74,0.57,0.750,0.00,0.00,46.00,10.03,71.6,29.43,2.34,3133,2.01,16.1,19.61,0
1.410,4.69,0.00,0.00,14.59,0.75,0.57,0.750,0.00,0.00,46.00,10.03,71.6,29.53,2.34,3134,2.04,16.1,19.61,0
1.478,4.69,0.00,0.00,14.59,0.78,0.57,0.750,0.00,0.00,46.00,10.61,71.6,29.76,2.34,3109,2.01,16.1,19.61,0
1.555,4.69,0.00,0.00,14.47,0.77,0.57,0.750,0.00,0.00,46.00,9.96,71.6,29.87,2.34,3111,2.01,16.1,19.61,0
1.651,4.69,0.00,0.00,14.47,0.81,0.57,0.750,0.00,0.00,46.00,9.96,71.6,29.98,2.34,3112,1.97,16.1,19.61,0
1.739,4.69,0.00,0.00,14.47,0.81,0.57,0.750,0.00,0.00,46.00,10.70,71.6,29.87,2.34,3135,1.96,16.1,19.61,0
1.852,4.69,0.00,0.00,14.47,0.82,0.57,0.750,0.00,0.00,46.00,10.04,71.6,29.53,2.36,3136,1.97,16.1,19.61,0
1.938,3.91,0.00,-0.12,14.47,0.83,0.57,0.750,0.00,0.00,46.00,9.96,71.6,29.32,2.36,3114,2.00,16.1,19.61,0
2.051,3.91,0.00,0.00,14.47,0.83,0.57,0.750,0.00,0.00,46.00,9.97,71.6,29.77,2.34,3114,1.97,16.1,19.61,0
2.109,4.69,0.00,0.00,14.59,0.80,0.57,0.750,0.00,0.00,46.00,10.04,71.6,29.54,2.34,3138,1.95,16.1,19.61,0
2.204,4.69,0.00,0.00,14.59,0.78,0.57,0.750,0.00,0.00,46.00,10.04,71.6,29.99,2.36,3138,1.97,16.1,19.61,0
2.291,4.69,0.00,0.00,14.59,0.76,0.57,0.750,0.00,0.00,46.00,10.04,71.6,29.76,2.36,3138,1.95,16.1,19.61,0
2.405,4.69,0.00,-0.12,14.47,0.78,0.57,0.750,0.00,0.00,46.00,10.63,71.6,29.53,2.34,3114,1.85,15.7,19.61,0
2.499,4.69,0.00,-0.12,14.47,0.81,0.57,0.750,0.00,0.00,46.00,9.98,71.6,29.43,2.34,3118,1.97,16.1,19.61,0
2.574,4.69,0.00,0.00,14.59,0.83,0.57,0.750,0.00,0.00,46.00,10.04,71.6,30.21,2.36,3138,1.97,16.1,19.61,0
2.659,4.69,0.00,0.00,14.59,0.80,0.57,0.750,0.00,0.00,46.00,10.06,71.6,30.31,2.36,3144,1.93,16.1,19.61,0
2.753,4.69,0.00,0.00,14.59,0.77,0.57,0.750,0.00,0.00,45.50,10.72,71.6,30.09,2.36,3140,1.95,16.1,19.61,0
2.846,3.91,0.00,-0.12,14.47,0.80,0.58,0.750,0.00,0.00,45.50,9.97,71.6,29.97,2.36,3116,1.92,16.1,19.61,0
2.951,3.91,0.00,-0.12,14.36,0.83,0.58,0.750,0.00,0.00,45.50,9.98,71.6,29.98,2.36,3119,1.95,16.1,19.61,0
3.035,3.12,0.00,-0.12,14.47,0.84,0.58,0.750,0.00,0.00,46.00,10.06,71.6,29.32,2.36,3144,1.97,16.1,19.61,0
3.125,3.91,0.00,0.00,14.59,0.83,0.57,0.750,0.00,0.00,46.00,10.05,71.6,29.75,2.34,3142,2.01,15.7,19.61,0
3.219,3.91,0.00,0.00,14.59,0.76,0.57,0.750,0.00,0.00,46.00,10.05,71.6,28.90,2.34,3139,1.85,15.7,19.61,0
3.311,3.91,0.00,0.00,14.59,0.78,0.56,0.750,0.00,0.00,46.00,9.98,71.6,29.54,2.34,3119,1.82,15.7,19.61,0
3.408,4.69,0.00,0.00,14.59,0.75,0.56,0.750,0.00,0.00,46.00,9.99,71.6,29.76,2.36,3122,1.91,16.1,19.61,0
3.493,4.69,0.00,0.00,14.59,0.73,0.57,0.750,0.00,0.00,46.00,10.06,71.6,30.22,2.36,3144,2.02,16.1,19.61,0
3.587,4.69,0.00,0.00,14.59,0.72,0.57,0.750,0.00,0.00,46.00,10.08,71.6,29.98,2.34,3149,2.07,16.1,19.61,0
3.670,4.69,0.00,0.00,14.59,0.72,0.57,0.750,0.00,0.00,46.00,10.74,71.6,30.21,2.36,3147,1.94,16.1,19.61,0
3.766,4.69,0.00,0.00,14.47,0.76,0.58,0.750,0.00,0.00,46.00,10.66,71.6,29.75,2.34,3122,1.96,15.7,19.61,0
3.868,3.91,0.00,-0.12,14.47,0.77,0.57,0.750,0.00,0.00,46.00,9.99,71.6,29.65,2.34,3123,1.91,15.7,19.61,0
3.960,4.69,0.00,0.00,14.47,0.82,0.57,0.750,0.00,0.00,46.00,10.06,71.6,30.21,2.34,3144,1.86,16.1,19.61,0
4.044,4.69,0.00,0.00,14.59,0.80,0.57,0.750,0.00,0.00,46.00,10.08,71.6,29.98,2.36,3149,1.84,16.1,19.61,0
4.141,4.69,0.00,0.00,14.59,0.74,0.57,0.750,0.00,0.00,46.00,10.08,71.6,29.75,2.28,3150,1.97,13.7,19.61,0
4.233,0.00,0.00,-0.12,14.24,0.74,0.52,0.750,0.00,0.00,44.50,1.99,71.6,14.91,1.90,3110,1.70,8.6,0.00,0
4.324,0.00,0.00,-0.25,13.90,0.85,0.35,0.750,0.00,0.00,37.50,1.99,71.6,13.14,1.86,3108,-0.28,8.2,0.00,0
4.411,0.00,0.00,0.00,14.93,0.90,0.28,0.750,0.00,0.00,33.50,1.98,71.6,12.51,1.84,3101,0.25,8.2,0.00,0
4.505,0.00,0.00,0.25,16.19,0.21,0.25,0.750,0.00,0.00,29.50,1.96,71.6,12.24,1.82,3057,1.01,7.8,0.00,0
4.594,0.00,0.00,0.25,16.19,0.10,0.25,0.750,0.00,0.00,27.00,1.91,71.6,12.35,1.84,2980,1.16,7.8,0.00,0
4.690,0.00,0.00,0.12,15.73,0.09,0.25,0.750,0.00,0.00,29.50,5.00,71.6,12.46,2.02,2928,1.41,13.3,12.16,0
4.780,0.00,0.00,0.00,15.04,0.07,0.33,0.750,0.00,0.00,40.50,9.52,71.6,28.90,2.36,2790,4.52,16.9,18.04,0
4.866,0.00,0.00,-0.25,14.01,0.16,0.52,0.750,0.00,0.00,45.50,9.85,71.6,30.02,2.36,2564,4.03,16.9,17.25,0
4.964,0.00,0.00,-0.38,13.44,0.94,0.66,0.750,0.00,0.00,25.50,9.29,71.6,29.35,2.34,2419,2.15,16.5,13.73,0
5.063,0.00,0.00,-0.38,13.55,0.91,0.69,0.750,0.00,0.00,44.00,9.27,71.6,28.47,2.34,2415,1.36,16.5,14.51,0
5.143,0.00,0.00,-0.25,13.67,0.94,0.70,0.750,0.00,0.00,44.00,9.80,71.6,28.90,2.34,2418,1.10,16.5,15.29,0
5.243,0.00,0.00,-0.25,13.67,0.93,0.71,0.750,0.00,0.00,44.00,9.84,71.6,28.37,2.34,2426,1.09,16.5,16.08,0
5.330,0.00,0.00,-0.38,13.44,0.93,0.71,0.750,0.00,0.00,44.00,9.91,71.6,28.58,2.34,2445,1.11,16.5,16.08,0
5.424,0.00,0.00,-0.38,13.44,0.92,0.71,0.750,0.00,0.00,43.50,9.91,71.6,29.12,2.34,2445,1.12,16.5,16.08,0
5.513,0.00,0.00,-0.38,13.55,0.92,0.71,0.750,0.00,0.00,43.50,9.82,71.6,29.01,2.36,2422,1.09,16.5,16.08,0
5.612,0.00,0.00,-0.38,13.67,0.92,0.71,0.750,0.00,0.00,43.50,9.82,71.6,29.35,2.34,2422,1.03,16.5,16.08,0
5.713,0.00,0.00,-0.38,13.67,0.92,0.72,0.750,0.00,0.00,43.50,9.92,71.6,29.12,2.36,2447,1.02,16.5,16.08,0
5.796,-0.78,0.00,-0.38,13.67,0.93,0.72,0.750,0.00,0.00,43.50,9.93,71.6,29.57,2.36,2449,0.99,16.5,16.08,0
5.881,-4.69,0.00,-0.25,13.67,0.94,0.72,0.750,0.00,0.00,43.50,9.34,71.6,29.29,2.36,2431,0.97,16.5,16.08,0
5.982,-5.47,0.00,-0.25,13.78,0.93,0.72,0.750,0.00,0.00,43.50,9.33,71.6,30.00,2.36,2429,0.95,16.5,16.08,0
6.067,-6.25,0.00,-0.12,14.13,0.90,0.73,0.750,0.00,0.00,43.50,9.41,71.6,29.69,2.36,2449,0.91,16.5,16.08,0
